omop_table,omop_column,omop_required,omop_type,mimic_table,mimic_column,mimic_type,comments
SOURCE_TO_CONCEPT_MAP,source_code,Yes,varchar(50),,,,
SOURCE_TO_CONCEPT_MAP,source_concept_id,Yes,integer,,,,
SOURCE_TO_CONCEPT_MAP,source_vocabulary_id,No,varchar(20),,,,
SOURCE_TO_CONCEPT_MAP,source_code_description,Yes,varchar(255),,,,
SOURCE_TO_CONCEPT_MAP,target_concept_id,Yes,integer,,,,
SOURCE_TO_CONCEPT_MAP,target_vocabulary_id,Yes,varchar(20),,,,
SOURCE_TO_CONCEPT_MAP,valid_start_date,Yes,date,,,,
SOURCE_TO_CONCEPT_MAP,valid_end_date,Yes,date,,,,
SOURCE_TO_CONCEPT_MAP,invalid_reason,No,varchar(1),,,,
