omop_table,omop_column,omop_required,mimic_table,mimic_column,comments
CONCEPT,concept_id,Yes,,,
CONCEPT,concept_name,Yes,,,
CONCEPT,domain_id,Yes,,,
CONCEPT,vocabulary_id,Yes,,,
CONCEPT,concept_class_id,Yes,,,
CONCEPT,standard_concept,No,,,
CONCEPT,concept_code,Yes,,,
CONCEPT,valid_start_date,Yes,,,
CONCEPT,valid_end_date,Yes,,,
CONCEPT,invalid_reason,No,,,
