omop_table,omop_column,omop_required,mimic_table,mimic_column,comments
CONCEPT_SYNONYM,concept_id,Yes,,,
CONCEPT_SYNONYM,concept_synonym_name,Yes,,,
CONCEPT_SYNONYM,language_concept_id,Yes,,,
